,price,area_tot,area_build,lon,lat
86195,502975.0,0.0,103.0,6.074389,46.319965
86203,290795.0,0.0,71.0,6.074389,46.319965
86211,496340.0,0.0,103.0,6.074389,46.319965
86219,399540.0,0.0,98.0,6.074389,46.319965
86227,297700.0,0.0,71.0,6.074389,46.319965
86235,535000.0,0.0,103.0,6.074389,46.319965
86243,24500.0,0.0,0.0,6.074389,46.319965
86349,600000.0,233.0,108.0,6.094607,46.322054
86387,1340000.0,11524.0,832.0,6.095567,46.322157000000004
86411,667000.0,1041.0,148.0,6.093491,46.323079
84837,535820.0,165.0,117.0,6.073067,46.315721
86435,190000.0,0.0,57.0,6.0686230000000005,46.316004
86477,190000.0,0.0,0.0,6.068561,46.315968
86516,208470.0,0.0,52.0,6.067876,46.315559
86553,960000.0,1850.0,122.0,6.067916,46.315484000000005
86591,272500.0,0.0,76.0,6.067271,46.315123
86598,445000.0,1027.0,69.0,6.063554,46.325485
86645,420000.0,580.0,106.0,6.06557,46.322207
86668,445850.0,601.0,96.0,6.067076,46.323060999999996
86704,387819.0,0.0,90.0,6.079818,46.321421
86765,190000.0,0.0,48.0,6.079611,46.321647
86847,320000.0,0.0,89.0,6.0800279999999995,46.320446000000004
86856,575000.0,955.0,73.0,6.07672,46.316036
86876,412145.0,306.0,94.0,6.065069,46.325148
86997,471000.0,0.0,115.0,6.06846,46.320907
87104,400000.0,266.0,120.0,6.0686800000000005,46.320674
87133,556000.0,800.0,137.0,6.073763,46.31991
87178,745000.0,800.0,132.0,6.073230000000001,46.320664
87215,715000.0,800.0,169.0,6.073067,46.320882
87257,775000.0,800.0,180.0,6.071959,46.321227
87296,644350.0,864.0,196.0,6.071633,46.321106
87315,650000.0,1004.0,157.0,6.069108,46.322853
87393,215000.0,0.0,50.0,6.069738,46.320555999999996
87451,500100.0,0.0,133.0,6.070826,46.319828
87501,388000.0,0.0,73.0,6.070398,46.320032
87549,295000.0,0.0,0.0,6.070398,46.320032
87599,295000.0,0.0,67.0,6.070743,46.319778
87629,665000.0,800.0,136.0,6.074358999999999,46.316340999999994
87688,518800.0,800.0,131.0,6.072576000000001,46.316759000000005
87689,270000.0,95.0,70.0,6.069292,46.318627
87691,22152.92,24.0,0.0,6.041243,46.281242
87719,464000.0,373.0,0.0,6.041243,46.281242
87775,264000.0,615.0,0.0,6.05584,46.28556
87844,600.0,214.0,0.0,6.05584,46.28556
88120,257600.0,791.0,0.0,6.032585,46.297024
88137,243600.0,756.0,0.0,6.032585,46.297024
88154,359000.0,1600.0,0.0,6.032585,46.297024
88172,200000.0,458.0,54.0,6.037755000000001,46.286651
88191,541050.0,0.0,112.0,6.033444,46.279812
88220,397850.0,0.0,95.0,6.033237000000001,46.280326
87769,404000.0,384.0,129.0,6.039779,46.278906
87919,752250.0,1350.0,209.0,6.052568,46.282403
88007,737000.0,751.0,168.0,6.0538419999999995,46.283794
88108,625000.0,1661.0,140.0,6.054156,46.285493
88231,590250.0,0.0,112.0,6.0336620000000005,46.280599
88234,503540.0,497.0,124.0,6.035426999999999,46.281121
88236,195000.0,248.0,0.0,6.040091,46.282247
88252,155000.0,369.0,0.0,6.040091,46.282247
88268,190000.0,438.0,0.0,6.040091,46.282247
88284,210000.0,518.0,0.0,6.040091,46.282247
88300,284000.0,809.0,0.0,6.040091,46.282247
88327,175000.0,0.0,53.0,6.039426000000001,46.281414
88346,384600.0,0.0,136.0,6.0402510000000005,46.282371000000005
88363,295600.0,0.0,76.0,6.040534,46.283136999999996
88379,379000.0,0.0,121.0,6.040534,46.283136999999996
88395,384600.0,0.0,0.0,6.040534,46.283136999999996
88411,379000.0,0.0,0.0,6.040534,46.283136999999996
88427,175000.0,0.0,0.0,6.040534,46.283136999999996
88429,2900000.0,0.0,81.0,6.034264,46.284279999999995
88467,794350.0,340.0,175.0,6.029662,46.297539
88474,700000.0,1354.0,117.0,6.052764,46.279764
88491,604000.0,560.0,121.0,6.053216,46.27961
88500,705050.0,9150.0,80.0,6.061371,46.280155
88530,555300.0,346.0,130.0,6.064255,46.279161
88543,386000.0,384.0,93.0,6.050428,46.283561
88651,365000.0,0.0,96.0,6.0518540000000005,46.282078999999996
88723,240000.0,285.0,72.0,6.052658999999999,46.281085
88791,530000.0,327.0,165.0,6.05284,46.280823
88858,365000.0,0.0,0.0,6.053079,46.280715
88888,344000.0,0.0,89.0,6.036404,46.283018
88945,202000.0,0.0,44.0,6.036404,46.283018
89002,266300.0,0.0,61.0,6.036404,46.283018
89059,200000.0,0.0,48.0,6.036404,46.283018
89134,392000.0,0.0,94.0,6.03567,46.282915
89191,368870.0,0.0,85.0,6.03567,46.282915
89259,282926.0,0.0,113.0,6.034568,46.283322999999996
89264,588000.0,248.0,124.0,6.044711,46.282196
89279,700000.0,765.0,185.0,6.039548,46.282651
89338,13500.0,0.0,0.0,6.040035,46.283632
89393,370000.0,0.0,88.0,6.040035,46.283632
89437,220000.0,0.0,58.0,6.037416,46.280276
89481,251000.0,0.0,79.0,6.037416,46.280276
89532,290500.0,0.0,73.0,6.024418,46.283553999999995
89533,957000.0,2752.0,0.0,6.026415,46.262012
